"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Intercept","-0.674","0.371","-1.401"," 0.053","-1.284","-0.064","0.069"
"age"," 0.002","0.003","-0.004"," 0.008","-0.003"," 0.007","0.509"
"is_male","-0.136","0.093","-0.318"," 0.046","-0.289"," 0.017","0.143"
"is_latino"," 0.116","0.096","-0.071"," 0.304","-0.041"," 0.274","0.225"
"is_not_latino_and_black"," 0.114","0.088","-0.058"," 0.286","-0.031"," 0.258","0.195"
"is_not_latino_and_other"," 0.123","0.135","-0.141"," 0.387","-0.098"," 0.345","0.360"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","-0.006"," 0.009","0.758"
"has_partner","-0.051","0.073","-0.194"," 0.092","-0.171"," 0.069","0.485"
"income_val"," 0.003","0.011","-0.019"," 0.024","-0.015"," 0.020","0.811"
"hour_coinflip_local"," 0.013","0.006"," 0.002"," 0.024"," 0.004"," 0.023","0.017"
"days_between_v1_and_coinflip_local"," 0.011","0.007","-0.003"," 0.025"," 0.000"," 0.023","0.115"
"any_response_2qs"," 0.078","0.043","-0.006"," 0.161"," 0.007"," 0.148","0.069"
"any_recent_eligible_dp","-0.721","0.339","-1.384","-0.057","-1.278","-0.164","0.033"
"engagement_most_recent_eligible"," 0.599","0.076"," 0.450"," 0.747"," 0.474"," 0.723","0.000"
