"","Estimate","StdErr","LCL","UCL","p_value"
"Intercept","-0.921","0.427","-1.758","-0.085","0.031"
"age"," 0.002","0.003","-0.004"," 0.008","0.489"
"is_male","-0.135","0.093","-0.317"," 0.047","0.145"
"is_latino"," 0.114","0.096","-0.074"," 0.302","0.234"
"is_not_latino_and_black"," 0.112","0.088","-0.060"," 0.284","0.202"
"is_not_latino_and_other"," 0.125","0.134","-0.138"," 0.389","0.352"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","0.774"
"has_partner","-0.049","0.073","-0.192"," 0.094","0.501"
"income_val"," 0.003","0.011","-0.018"," 0.024","0.791"
"hour_coinflip_local"," 0.053","0.033","-0.012"," 0.117","0.109"
"hour_coinflip_local_squared","-0.001","0.001","-0.004"," 0.001","0.218"
"days_between_v1_and_coinflip_local"," 0.011","0.007","-0.003"," 0.025","0.116"
"any_response_2qs"," 0.075","0.043","-0.008"," 0.159","0.077"
"any_recent_eligible_dp","-0.730","0.338","-1.393","-0.067","0.031"
"engagement_most_recent_eligible"," 0.599","0.076"," 0.450"," 0.747","0.000"
