"","Estimate","StdErr","LCL","UCL","LCL90","UCL90","p_value"
"Intercept","-0.736","0.395","-1.510"," 0.039","-1.385","-0.086","0.063"
"age"," 0.002","0.003","-0.004"," 0.008","-0.003"," 0.007","0.492"
"is_male","-0.136","0.094","-0.319"," 0.048","-0.289"," 0.018","0.147"
"is_latino"," 0.120","0.096","-0.069"," 0.308","-0.039"," 0.278","0.214"
"is_not_latino_and_black"," 0.117","0.089","-0.057"," 0.291","-0.029"," 0.263","0.189"
"is_not_latino_and_other"," 0.124","0.135","-0.140"," 0.389","-0.097"," 0.346","0.356"
"baseline_tobacco_history"," 0.001","0.004","-0.007"," 0.010","-0.006"," 0.009","0.737"
"has_partner","-0.053","0.073","-0.197"," 0.091","-0.174"," 0.068","0.470"
"income_val"," 0.002","0.011","-0.019"," 0.024","-0.016"," 0.021","0.821"
"hour_coinflip_local"," 0.007","0.004","-0.001"," 0.014"," 0.000"," 0.013","0.080"
"days_between_v1_and_coinflip_local"," 0.085","0.056","-0.026"," 0.195","-0.008"," 0.178","0.132"
"days_between_v1_and_coinflip_local_squared","-0.006","0.005","-0.016"," 0.004","-0.015"," 0.003","0.252"
"any_response_2qs"," 0.076","0.043","-0.008"," 0.160"," 0.005"," 0.146","0.078"
"any_recent_eligible_dp","-0.761","0.340","-1.426","-0.095","-1.319","-0.202","0.025"
"engagement_most_recent_eligible"," 0.596","0.076"," 0.448"," 0.744"," 0.472"," 0.720","0.000"
