"","Estimate","StdErr","LCL","UCL","p_value"
"Intercept","-1.440","0.739","-2.889"," 0.008","0.051"
"age"," 0.002","0.005","-0.008"," 0.013","0.644"
"is_male","-0.177","0.166","-0.503"," 0.149","0.288"
"is_latino"," 0.169","0.164","-0.153"," 0.490","0.304"
"is_not_latino_and_black"," 0.137","0.142","-0.142"," 0.416","0.336"
"is_not_latino_and_other"," 0.275","0.203","-0.122"," 0.673","0.174"
"baseline_tobacco_history"," 0.007","0.008","-0.008"," 0.021","0.391"
"has_partner","-0.033","0.123","-0.273"," 0.207","0.787"
"income_val","-0.002","0.018","-0.037"," 0.034","0.919"
"hour_coinflip_local","-0.017","0.006","-0.029","-0.005","0.007"
"days_between_v1_and_coinflip_local"," 0.008","0.009","-0.011"," 0.026","0.422"
"any_response_2qs"," 0.392","0.083"," 0.229"," 0.555","0.000"
"any_recent_eligible_dp"," 0.091","0.709","-1.298"," 1.481","0.897"
"engagement_most_recent_eligible"," 0.379","0.051"," 0.279"," 0.479","0.000"
