"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.903","0.101"," 0.705"," 1.101","0.000"
"age"," 0.000","0.002","-0.003"," 0.004","0.854"
"is_male","-0.092","0.051","-0.192"," 0.007","0.069"
"is_latino"," 0.089","0.054","-0.018"," 0.195","0.102"
"is_not_latino_and_black"," 0.092","0.056","-0.017"," 0.200","0.099"
"is_not_latino_and_other"," 0.050","0.090","-0.126"," 0.227","0.576"
"baseline_tobacco_history","-0.001","0.003","-0.007"," 0.005","0.752"
"has_partner","-0.039","0.044","-0.126"," 0.047","0.369"
"income_val"," 0.000","0.007","-0.013"," 0.014","0.945"
"hour_coinflip_local"," 0.008","0.002"," 0.004"," 0.012","0.000"
"days_between_v1_and_coinflip_local"," 0.010","0.004"," 0.001"," 0.018","0.032"
"any_response_2qs","-0.084","0.025","-0.133","-0.036","0.001"
"any_recent_eligible_dp","-0.280","0.042","-0.362","-0.198","0.000"
"engagement_most_recent_eligible"," 0.038","0.014"," 0.011"," 0.065","0.005"
