"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)","-0.824","0.185","-1.188","-0.461","0.000"
"age"," 0.002","0.003","-0.004"," 0.007","0.551"
"is_male","-0.131","0.090","-0.308"," 0.045","0.146"
"is_latino"," 0.119","0.094","-0.065"," 0.303","0.205"
"is_not_latino_and_black"," 0.118","0.086","-0.051"," 0.286","0.172"
"is_not_latino_and_other"," 0.125","0.133","-0.136"," 0.386","0.348"
"baseline_tobacco_history"," 0.001","0.004","-0.008"," 0.010","0.823"
"has_partner","-0.050","0.072","-0.191"," 0.091","0.491"
"income_val"," 0.001","0.011","-0.020"," 0.022","0.907"
"hour_coinflip_local"," 0.007","0.004","-0.001"," 0.014","0.074"
"days_between_v1_and_coinflip_local"," 0.012","0.006"," 0.001"," 0.024","0.037"
"any_response_2qs"," 0.085","0.040"," 0.007"," 0.164","0.034"
"any_recent_eligible_dp","-0.457","0.132","-0.716","-0.198","0.001"
"engagement_most_recent_eligible"," 0.564","0.071"," 0.426"," 0.703","0.000"
