"","Estimate","StdErr","LCL","UCL","p_value"
"(Intercept)"," 0.475","0.100"," 0.280"," 0.671","0.000"
"age"," 0.001","0.001","-0.002"," 0.004","0.542"
"is_male","-0.075","0.043","-0.159"," 0.009","0.081"
"is_latino"," 0.066","0.046","-0.025"," 0.157","0.155"
"is_not_latino_and_black"," 0.069","0.045","-0.018"," 0.157","0.120"
"is_not_latino_and_other"," 0.074","0.068","-0.060"," 0.208","0.277"
"baseline_tobacco_history"," 0.001","0.002","-0.004"," 0.005","0.732"
"has_partner","-0.028","0.037","-0.101"," 0.044","0.442"
"income_val"," 0.000","0.006","-0.011"," 0.012","0.941"
"hour_coinflip_local"," 0.004","0.002"," 0.000"," 0.008","0.079"
"days_between_v1_and_coinflip_local"," 0.007","0.003"," 0.000"," 0.014","0.040"
"any_response_2qs"," 0.051","0.022"," 0.009"," 0.094","0.019"
"any_recent_eligible_dp","-0.239","0.071","-0.378","-0.100","0.001"
"engagement_most_recent_eligible"," 0.307","0.032"," 0.244"," 0.370","0.000"
